Sample.ID,Sex,Batch,WBC,NEUT
JAXW202.3235,M,7,3.26,311.982
JAXW202.3237,M,7,6.36,816.624
JAXW202.3238,M,7,9.24,1404.48
JAXW202.3240,M,7,6.2,1244.96
JAXW202.3241,M,7,2.88,508.32
JAXW202.3242,M,7,5.22,1419.318
JAXW202.3243,M,7,4.22,926.712
JAXW202.3245,M,7,4.88,1013.088
JAXW202.3246,M,7,6.4,547.84
JAXW202.3247,M,7,8.62,1258.52
JAXW202.3248,M,7,2.46,380.07
JAXW202.3249,M,7,6.54,1009.122
JAXW202.3250,M,7,4.1,624.84
JAXW202.3251,M,7,4.26,611.31
JAXW202.3252,M,7,6.36,964.176
JAXW202.3254,M,7,3.98,265.864
JAXW202.3255,M,7,10.72,1208.144
JAXW202.3256,M,7,4.32,423.36
JAXW202.3257,M,7,5.82,573.27
JAXW202.3258,M,7,4.74,1060.812
JAXW202.3259,M,7,5.42,805.954
JAXW202.3260,F,7,7.9,1142.34
JAXW202.3261,M,7,8.82,799.092
JAXW202.3265,M,7,7.6,633.08
JAXW202.3266,M,7,6.28,829.588
JAXW202.3267,F,5,7.92,963.072
JAXW202.3269,F,5,6.3,697.41
JAXW202.3270,F,5,6.2,551.8
JAXW202.3271,F,5,2.08,338.832
JAXW202.3272,F,5,8.88,2096.568
JAXW202.3273,F,5,5.44,1126.624
JAXW202.3275,F,5,4.04,963.54
JAXW202.3277,F,5,7.74,1323.54
JAXW202.3278,F,5,5.56,1081.976
JAXW202.3280,F,5,4.02,194.97
